Date: 07-22 at 14:07:41, #particle: 10, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1801.79(22), mean: 2379.70, max: 2693.53
Date: 07-22 at 14:08:23, #particle: 10, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1755.90(22), mean: 2244.69, max: 2676.75
Date: 07-22 at 14:09:07, #particle: 10, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1723.02(22), mean: 2262.71, max: 2674.15
Date: 07-22 at 14:09:52, #particle: 10, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.00(22), mean: 2188.17, max: 2665.78
Date: 07-22 at 14:10:37, #particle: 10, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.00(22), mean: 1989.74, max: 2694.78
Date: 07-22 at 14:11:19, #particle: 10, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.00(22), mean: 1909.60, max: 2576.54
Date: 07-22 at 14:12:01, #particle: 10, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.00(22), mean: 1876.63, max: 2059.64
Date: 07-22 at 14:12:50, #particle: 10, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.00(22), mean: 1826.86, max: 2065.95
Date: 07-22 at 14:13:34, #particle: 10, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.00(22), mean: 1856.51, max: 2103.91
Date: 07-22 at 14:14:18, #particle: 10, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.00(22), mean: 1858.28, max: 2022.28
Date: 07-22 at 14:15:11, #particle: 10, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.00(22), mean: 1794.64, max: 2064.57
Date: 07-22 at 14:16:03, #particle: 10, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.00(22), mean: 1808.50, max: 1890.75
Date: 07-22 at 14:16:58, #particle: 10, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.00(22), mean: 1799.80, max: 1914.21
Date: 07-22 at 14:17:48, #particle: 10, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.00(22), mean: 1766.32, max: 1833.74
Date: 07-22 at 14:18:41, #particle: 10, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1682.07(22), mean: 1729.45, max: 1821.79
Date: 07-22 at 14:19:34, #particle: 10, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1675.85(22), mean: 1731.12, max: 1844.51
Date: 07-22 at 14:20:27, #particle: 10, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1674.20(22), mean: 1740.93, max: 1882.11
Date: 07-22 at 14:21:14, #particle: 10, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1674.20(22), mean: 1753.23, max: 1917.22
Date: 07-22 at 14:22:06, #particle: 10, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1674.20(22), mean: 1731.37, max: 1939.83
Date: 07-22 at 14:22:56, #particle: 10, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1674.20(22), mean: 1744.48, max: 1958.35
Date: 07-22 at 14:23:51, #particle: 10, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1674.20(22), mean: 1725.12, max: 1760.96
Date: 07-22 at 14:24:46, #particle: 10, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1674.20(22), mean: 1712.34, max: 1760.96
Date: 07-22 at 14:25:37, #particle: 10, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1674.20(22), mean: 1709.17, max: 1760.96
Date: 07-22 at 14:26:23, #particle: 10, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1674.20(22), mean: 1740.84, max: 1813.25
