Date: 07-14 at 07:14:54, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.86(16) mean: 1637.45, max: 1865.76
Date: 07-14 at 07:15:53, iter: 46, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.86(16) mean: 1615.78, max: 1801.05
Date: 07-14 at 07:16:47, iter: 48, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.86(16) mean: 1728.42, max: 2128.25
Date: 07-14 at 07:17:41, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.86(16) mean: 1755.61, max: 2125.26
Date: 07-14 at 07:18:42, iter: 50, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.86(16) mean: 1692.41, max: 2142.87
Date: 07-14 at 07:19:36, iter: 51, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.69(16) mean: 1672.23, max: 2120.66
Date: 07-14 at 07:20:33, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.69(16) mean: 1634.85, max: 1746.75
Date: 07-14 at 07:21:36, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.33(16) mean: 1596.23, max: 1674.49
Date: 07-14 at 07:22:30, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.33(16) mean: 1607.42, max: 1712.59
Date: 07-14 at 07:23:30, iter: 55, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.33(16) mean: 1596.95, max: 1698.27
Date: 07-14 at 07:24:30, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.08(16) mean: 1592.37, max: 1705.50
Date: 07-14 at 07:25:27, iter: 57, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.08(16) mean: 1588.87, max: 1696.84
Date: 07-14 at 07:26:26, iter: 58, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.08(16) mean: 1566.47, max: 1653.74
Date: 07-14 at 07:27:28, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.08(16) mean: 1569.38, max: 1685.05
Date: 07-14 at 07:28:25, iter: 60, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1550.08(16) mean: 1573.23, max: 1653.74
Date: 07-14 at 07:29:22, iter: 62, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1549.63(16) mean: 1661.92, max: 1878.52
Date: 07-14 at 07:30:21, iter: 63, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1532.78(15) mean: 1565.68, max: 1621.55
Date: 07-14 at 07:31:15, iter: 64, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1515.92(15) mean: 1561.37, max: 1621.55
Date: 07-14 at 07:32:08, iter: 65, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1561.92, max: 1630.04
Date: 07-14 at 07:33:06, iter: 66, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1566.07, max: 1663.65
Date: 07-14 at 07:34:06, iter: 67, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1560.22, max: 1616.32
Date: 07-14 at 07:34:58, iter: 68, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1567.88, max: 1633.23
Date: 07-14 at 07:35:53, iter: 69, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1564.87, max: 1621.87
Date: 07-14 at 07:36:52, iter: 71, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1638.55, max: 1885.17
Date: 07-14 at 07:37:47, iter: 72, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1601.54, max: 1762.83
Date: 07-14 at 07:38:39, iter: 73, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1591.03, max: 1731.17
Date: 07-14 at 07:39:36, iter: 74, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1582.60, max: 1748.82
Date: 07-14 at 07:40:33, iter: 76, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1713.39, max: 1975.23
Date: 07-14 at 07:41:26, iter: 77, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1594.83, max: 1651.40
Date: 07-14 at 07:42:22, iter: 78, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1593.18, max: 1661.25
Date: 07-14 at 07:43:18, iter: 79, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1569.67, max: 1624.46
Date: 07-14 at 07:44:14, iter: 81, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1634.80, max: 1878.95
Date: 07-14 at 07:45:09, iter: 82, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1628.15, max: 1883.31
Date: 07-14 at 07:46:06, iter: 83, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1603.70, max: 1856.06
Date: 07-14 at 07:46:58, iter: 84, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1595.79, max: 1833.25
Date: 07-14 at 07:47:54, iter: 86, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1660.87, max: 1995.94
Date: 07-14 at 07:48:51, iter: 87, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1616.19, max: 2006.35
Date: 07-14 at 07:49:39, iter: 88, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1706.44, max: 1991.60
Date: 07-14 at 07:50:31, iter: 89, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1510.74(15) mean: 1684.01, max: 1953.51
