Date: 01-07 at 10:49:01, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1764.90(17), mean: 2850.84, max: 3502.94
Date: 01-07 at 10:50:00, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1676.58(17), mean: 2691.70, max: 3508.97
Date: 01-07 at 10:51:03, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1645.77(16), mean: 2505.45, max: 3173.37
Date: 01-07 at 10:52:02, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1645.77(16), mean: 2192.26, max: 3227.52
Date: 01-07 at 10:52:58, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1645.77(16), mean: 2181.45, max: 3304.67
Date: 01-07 at 10:53:59, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1645.77(16), mean: 1965.15, max: 2960.88
Date: 01-07 at 10:54:54, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1645.77(16), mean: 1970.39, max: 2925.92
Date: 01-07 at 10:55:50, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1645.77(16), mean: 2746.62, max: 3250.76
Date: 01-07 at 10:56:52, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1645.77(16), mean: 2185.49, max: 2862.77
Date: 01-07 at 10:57:46, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1645.77(16), mean: 2081.74, max: 2794.34
Date: 01-07 at 10:58:43, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1645.77(16), mean: 2093.81, max: 2842.97
Date: 01-07 at 10:59:43, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1645.77(16), mean: 2578.36, max: 2988.97
Date: 01-07 at 11:00:39, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23, best obj: 1645.77(16), mean: 2351.18, max: 3000.48
