Date: 12-18 at 15:20:30, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 1022.68(7), mean: 2968.10, max: 3722.01
Date: 12-18 at 15:21:25, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 895.69(6), mean: 2971.26, max: 3755.63
Date: 12-18 at 15:22:17, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 883.29(6), mean: 2529.71, max: 3237.79
Date: 12-18 at 15:23:08, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 809.74(8), mean: 2110.92, max: 2736.54
Date: 12-18 at 15:24:01, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 749.61(7), mean: 2012.26, max: 2754.85
Date: 12-18 at 15:25:01, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 745.64(7), mean: 1017.55, max: 1191.15
Date: 12-18 at 15:25:54, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 740.50(7), mean: 991.08, max: 1122.12
Date: 12-18 at 15:26:49, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 740.50(7), mean: 913.91, max: 1058.96
Date: 12-18 at 15:27:46, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 740.50(7), mean: 859.21, max: 960.19
Date: 12-18 at 15:28:41, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 740.50(7), mean: 838.16, max: 962.83
Date: 12-18 at 15:29:38, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 740.50(7), mean: 840.28, max: 939.07
Date: 12-18 at 15:30:34, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 740.50(7), mean: 991.03, max: 1412.79
Date: 12-18 at 15:31:29, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 740.50(7), mean: 872.00, max: 1071.97
Date: 12-18 at 15:32:24, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 740.50(7), mean: 878.70, max: 1103.78
Date: 12-18 at 15:33:21, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 740.50(7), mean: 836.54, max: 944.73
Date: 12-18 at 15:34:16, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 740.50(7), mean: 913.97, max: 1331.01
Date: 12-18 at 15:35:11, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 588.49, best obj: 740.50(7), mean: 857.88, max: 1021.36
