Date: 07-15 at 08:45:31, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1577.88(6) mean: 3599.44, max: 4392.12
Date: 07-15 at 08:46:02, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1454.40(10) mean: 2748.77, max: 3560.63
Date: 07-15 at 08:46:52, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1397.26(10) mean: 2579.68, max: 3518.09
Date: 07-15 at 08:47:36, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1378.76(10) mean: 2241.75, max: 3115.53
Date: 07-15 at 08:48:17, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1331.35(8) mean: 1432.08, max: 1552.23
Date: 07-15 at 08:49:07, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1244.55(7) mean: 1449.58, max: 1589.19
Date: 07-15 at 08:49:50, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1241.10(7) mean: 1522.15, max: 1670.37
Date: 07-15 at 08:50:36, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1241.10(7) mean: 1332.81, max: 1435.31
Date: 07-15 at 08:51:24, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1241.10(7) mean: 1348.49, max: 1511.62
Date: 07-15 at 08:52:06, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1241.10(7) mean: 1424.60, max: 1617.27
Date: 07-15 at 08:52:48, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1241.10(7) mean: 1376.47, max: 1597.92
Date: 07-15 at 08:53:36, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1241.10(7) mean: 1574.68, max: 1812.73
Date: 07-15 at 08:54:12, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1241.10(7) mean: 1466.25, max: 1704.47
Date: 07-15 at 08:54:57, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1227.74(8) mean: 1359.24, max: 1547.52
Date: 07-15 at 08:55:47, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1222.09(8) mean: 1307.59, max: 1405.06
Date: 07-15 at 08:56:29, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1222.02(8) mean: 1316.17, max: 1405.64
Date: 07-15 at 08:57:08, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1220.43(8) mean: 1372.85, max: 1533.12
Date: 07-15 at 08:57:49, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1215.84(8) mean: 1273.91, max: 1423.78
Date: 07-15 at 08:58:32, iter: 20, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1215.84(8) mean: 1268.94, max: 1349.45
Date: 07-15 at 08:59:19, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1215.84(8) mean: 1247.52, max: 1305.91
Date: 07-15 at 08:59:59, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1215.84(8) mean: 1249.79, max: 1305.91
Date: 07-15 at 09:00:49, iter: 23, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1215.84(8) mean: 1252.68, max: 1322.76
Date: 07-15 at 09:01:26, iter: 25, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1215.84(8) mean: 1557.19, max: 2006.56
Date: 07-15 at 09:02:05, iter: 26, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1215.84(8) mean: 1422.04, max: 2073.82
Date: 07-15 at 09:02:44, iter: 27, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1210.45(8) mean: 1321.43, max: 2073.89
Date: 07-15 at 09:03:21, iter: 28, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1209.10(8) mean: 1300.91, max: 1466.95
Date: 07-15 at 09:04:05, iter: 29, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1209.10(8) mean: 1269.04, max: 1352.51
Date: 07-15 at 09:04:51, iter: 30, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1209.10(8) mean: 1247.28, max: 1338.09
Date: 07-15 at 09:05:31, iter: 31, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1209.10(8) mean: 1254.64, max: 1372.21
Date: 07-15 at 09:06:08, iter: 32, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1209.10(8) mean: 1228.78, max: 1319.96
Date: 07-15 at 09:06:52, iter: 34, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1209.10(8) mean: 1536.69, max: 1891.63
Date: 07-15 at 09:07:30, iter: 35, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1209.10(8) mean: 1358.36, max: 1533.34
Date: 07-15 at 09:08:07, iter: 36, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1209.10(8) mean: 1304.33, max: 1545.45
Date: 07-15 at 09:08:51, iter: 37, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1209.10(8) mean: 1250.31, max: 1367.91
Date: 07-15 at 09:09:36, iter: 39, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1209.10(8) mean: 1462.06, max: 1774.38
Date: 07-15 at 09:10:15, iter: 40, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1209.10(8) mean: 1365.59, max: 1738.40
Date: 07-15 at 09:10:51, iter: 41, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1205.17(7) mean: 1323.38, max: 1632.54
Date: 07-15 at 09:11:26, iter: 42, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1194.37(7) mean: 1365.80, max: 1683.79
Date: 07-15 at 09:12:12, iter: 43, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1192.60(7) mean: 1262.87, max: 1358.45
Date: 07-15 at 09:12:57, iter: 44, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1192.60(7) mean: 1230.42, max: 1266.22
Date: 07-15 at 09:13:40, iter: 45, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1192.60(7) mean: 1228.82, max: 1266.22
Date: 07-15 at 09:14:23, iter: 46, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1181.58(7) mean: 1222.72, max: 1319.91
Date: 07-15 at 09:15:11, iter: 47, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1181.58(7) mean: 1216.60, max: 1248.47
Date: 07-15 at 09:15:53, iter: 48, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1181.58(7) mean: 1212.82, max: 1225.33
Date: 07-15 at 09:16:30, iter: 49, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1181.58(7) mean: 1182.16, max: 1186.98
Date: 07-15 at 09:17:08, iter: 50, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1181.58(7) mean: 1181.89, max: 1186.30
Date: 07-15 at 09:17:48, iter: 52, fix: false, local: false, cut car: true, new generate: false, Khoo: 1095.64 best obj: 1181.58(7) mean: 1517.79, max: 2002.35
