Date: 11-17 at 06:04:13, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 2028.56(21), mean: 2806.43, max: 3157.19
Date: 11-17 at 06:05:33, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1943.11(21), mean: 2808.26, max: 3122.23
Date: 11-17 at 06:06:57, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1930.86(21), mean: 2819.03, max: 3121.41
Date: 11-17 at 06:08:21, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1896.72(22), mean: 2706.13, max: 3170.92
Date: 11-17 at 06:09:46, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1808.82(20), mean: 2716.63, max: 3191.46
Date: 11-17 at 06:11:11, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1770.57(20), mean: 2725.74, max: 3172.98
Date: 11-17 at 06:12:44, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1770.57(20), mean: 2388.69, max: 3096.88
Date: 11-17 at 06:14:12, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1770.57(20), mean: 2246.95, max: 3009.12
Date: 11-17 at 06:15:36, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1770.57(20), mean: 2207.47, max: 3016.41
Date: 11-17 at 06:17:02, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1770.57(20), mean: 2099.24, max: 3022.46
Date: 11-17 at 06:18:30, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1770.57(20), mean: 1932.66, max: 2183.98
Date: 11-17 at 06:19:57, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1747.60(19), mean: 1864.56, max: 2051.67
Date: 11-17 at 06:21:20, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1745.92(18), mean: 1873.34, max: 2123.35
Date: 11-17 at 06:22:39, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1745.92(18), mean: 1824.07, max: 1931.66
Date: 11-17 at 06:24:02, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1745.92(18), mean: 1820.91, max: 1929.82
Date: 11-17 at 06:25:24, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1745.84(18), mean: 1830.76, max: 1929.82
Date: 11-17 at 06:26:43, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1743.85(18), mean: 1893.22, max: 2007.82
Date: 11-17 at 06:28:03, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1742.66(18), mean: 1831.95, max: 1990.03
Date: 11-17 at 06:29:24, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.83(18), mean: 1872.43, max: 2068.65
Date: 11-17 at 06:30:43, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.83(18), mean: 1830.28, max: 1913.01
Date: 11-17 at 06:32:06, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.83(18), mean: 1860.70, max: 1958.95
Date: 11-17 at 06:33:27, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.83(18), mean: 1830.00, max: 1886.82
Date: 11-17 at 06:34:53, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.83(18), mean: 1831.88, max: 1963.54
Date: 11-17 at 06:36:12, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.83(18), mean: 1888.38, max: 2040.45
Date: 11-17 at 06:37:34, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.83(18), mean: 1823.82, max: 1961.25
Date: 11-17 at 06:38:54, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.83(18), mean: 1822.38, max: 1994.44
Date: 11-17 at 06:40:14, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.83(18), mean: 1856.02, max: 1912.30
Date: 11-17 at 06:41:34, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.83(18), mean: 1816.49, max: 1872.80
Date: 11-17 at 06:42:56, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.83(18), mean: 1826.06, max: 1915.18
