Date: 11-16 at 19:25:37, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 975.24(8), mean: 2863.47, max: 3692.32
Date: 11-16 at 19:26:52, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 891.22(6), mean: 2016.52, max: 3112.87
Date: 11-16 at 19:28:04, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 839.80(6), mean: 1647.36, max: 2716.66
Date: 11-16 at 19:29:16, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 839.01(6), mean: 1504.29, max: 2219.35
Date: 11-16 at 19:30:30, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 839.01(6), mean: 1367.02, max: 1984.69
Date: 11-16 at 19:31:42, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 827.60(5), mean: 960.09, max: 1030.55
Date: 11-16 at 19:32:52, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 824.44(5), mean: 989.23, max: 1127.21
Date: 11-16 at 19:34:05, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 824.44(5), mean: 1025.36, max: 1181.12
Date: 11-16 at 19:35:12, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 817.82(5), mean: 892.46, max: 1072.37
Date: 11-16 at 19:36:21, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 814.29(5), mean: 872.76, max: 1033.10
Date: 11-16 at 19:37:28, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 806.55(5), mean: 875.92, max: 1033.22
Date: 11-16 at 19:38:37, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 806.49(5), mean: 874.64, max: 1062.88
Date: 11-16 at 19:39:44, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 806.49(5), mean: 876.94, max: 950.28
Date: 11-16 at 19:40:50, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 806.49(5), mean: 846.30, max: 865.84
Date: 11-16 at 19:41:57, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 806.49(5), mean: 883.35, max: 921.90
Date: 11-16 at 19:43:01, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 806.49(5), mean: 815.23, max: 847.32
Date: 11-16 at 19:44:10, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 806.49(5), mean: 829.79, max: 874.46
Date: 11-16 at 19:45:18, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 804.90(4), mean: 817.12, max: 860.70
Date: 11-16 at 19:46:30, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 804.90(4), mean: 806.66, max: 808.62
Date: 11-16 at 19:47:42, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 804.90(4), mean: 806.52, max: 808.62
Date: 11-16 at 19:48:44, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 804.90(4), mean: 805.04, max: 807.00
Date: 11-16 at 19:49:59, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 804.90(4), mean: 805.04, max: 807.00
Date: 11-16 at 19:51:11, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 804.90(4), mean: 805.04, max: 807.00
Date: 11-16 at 19:52:25, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 804.90(4), mean: 805.04, max: 807.00
Date: 11-16 at 19:53:38, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 804.90(4), mean: 805.04, max: 807.00
Date: 11-16 at 19:54:51, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 804.90(4), mean: 805.04, max: 807.00
Date: 11-16 at 19:55:55, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 804.90(4), mean: 807.54, max: 844.57
Date: 11-16 at 19:56:59, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 705.33, best obj: 804.90(4), mean: 804.90, max: 804.90
