Date: 11-14 at 04:49:19, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1766.09(5), mean: 3128.66, max: 3576.10
Date: 11-14 at 04:50:38, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1571.16(7), mean: 2947.93, max: 3531.37
Date: 11-14 at 04:52:04, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1465.58(11), mean: 2664.70, max: 3325.83
Date: 11-14 at 04:53:25, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1418.87(11), mean: 2631.90, max: 3303.52
Date: 11-14 at 04:54:52, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1386.14(13), mean: 2442.53, max: 3067.98
Date: 11-14 at 04:56:16, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1319.26(13), mean: 2405.95, max: 2994.42
Date: 11-14 at 04:57:44, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1297.76(12), mean: 2341.08, max: 2886.62
Date: 11-14 at 04:59:12, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1297.76(12), mean: 1441.88, max: 1508.94
Date: 11-14 at 05:00:40, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1285.89(11), mean: 1470.27, max: 1549.75
Date: 11-14 at 05:02:07, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1285.89(11), mean: 1508.92, max: 1631.18
Date: 11-14 at 05:03:36, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1285.89(11), mean: 1440.47, max: 1588.61
Date: 11-14 at 05:05:06, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1285.89(11), mean: 1394.04, max: 1576.80
Date: 11-14 at 05:06:34, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1282.64(12), mean: 1374.59, max: 1473.86
Date: 11-14 at 05:08:02, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1282.64(12), mean: 1413.95, max: 1500.47
Date: 11-14 at 05:09:30, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1270.63(12), mean: 1395.53, max: 1525.01
Date: 11-14 at 05:11:03, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1270.63(12), mean: 1356.60, max: 1418.42
Date: 11-14 at 05:12:34, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1270.63(12), mean: 1369.51, max: 1433.46
Date: 11-14 at 05:14:05, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1270.63(12), mean: 1391.29, max: 1457.99
Date: 11-14 at 05:15:34, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1270.63(12), mean: 1418.88, max: 1504.69
Date: 11-14 at 05:17:04, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1270.63(12), mean: 1389.66, max: 1513.45
Date: 11-14 at 05:18:41, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1270.63(12), mean: 1324.90, max: 1378.85
Date: 11-14 at 05:20:20, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1270.63(12), mean: 1304.55, max: 1363.43
Date: 11-14 at 05:21:53, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1253.05(12), mean: 1296.07, max: 1384.51
Date: 11-14 at 05:23:19, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1253.05(12), mean: 1322.80, max: 1422.28
Date: 11-14 at 05:24:52, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1253.05(12), mean: 1306.87, max: 1356.34
Date: 11-14 at 05:26:24, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1253.05(12), mean: 1310.66, max: 1391.39
Date: 11-14 at 05:28:06, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 1144.48, best obj: 1253.05(12), mean: 1292.87, max: 1331.96
