Date: 07-20 at 02:48:53, #particle: 35, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1701.56, max: 1744.84
Date: 07-20 at 02:51:37, #particle: 35, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1699.08, max: 1759.17
Date: 07-20 at 02:54:20, #particle: 35, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1695.19, max: 1731.62
Date: 07-20 at 02:57:09, #particle: 35, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1693.79, max: 1731.62
Date: 07-20 at 02:59:49, #particle: 35, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1694.14, max: 1733.68
Date: 07-20 at 03:02:17, #particle: 35, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1721.91, max: 1777.07
Date: 07-20 at 03:04:54, #particle: 35, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1727.47, max: 1827.46
Date: 07-20 at 03:07:36, #particle: 35, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1711.46, max: 1845.15
Date: 07-20 at 03:10:11, #particle: 35, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1698.26, max: 1775.15
Date: 07-20 at 03:12:50, #particle: 35, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1692.85, max: 1742.13
Date: 07-20 at 03:15:24, #particle: 35, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1692.34, max: 1742.09
Date: 07-20 at 03:17:56, #particle: 35, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1702.57, max: 1769.05
Date: 07-20 at 03:20:37, #particle: 35, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1693.76, max: 1742.09
