Date: 12-31 at 03:52:49, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1437.57(5), mean: 3506.39, max: 4666.63
Date: 12-31 at 03:53:35, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1367.75(4), mean: 3510.23, max: 4678.64
Date: 12-31 at 03:54:11, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1364.93(4), mean: 2492.43, max: 4213.04
Date: 12-31 at 03:54:43, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1364.93(4), mean: 2025.21, max: 3140.72
Date: 12-31 at 03:55:15, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1343.95(7), mean: 1647.54, max: 2368.67
Date: 12-31 at 03:55:54, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1291.00(6), mean: 1449.88, max: 2036.67
Date: 12-31 at 03:56:40, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1283.17(6), mean: 1453.85, max: 2037.22
Date: 12-31 at 03:57:14, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1278.73(6), mean: 1371.22, max: 1470.33
Date: 12-31 at 03:57:58, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1271.54(6), mean: 1306.93, max: 1347.80
Date: 12-31 at 03:58:39, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1258.98(6), mean: 1293.62, max: 1320.94
Date: 12-31 at 03:59:22, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1258.98(6), mean: 1293.71, max: 1327.97
Date: 12-31 at 03:59:49, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1258.98(6), mean: 1355.14, max: 1461.32
Date: 12-31 at 04:00:20, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1258.80(6), mean: 1314.72, max: 1426.81
Date: 12-31 at 04:00:48, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1255.82(6), mean: 1301.62, max: 1393.99
Date: 12-31 at 04:01:31, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1255.46(6), mean: 1283.17, max: 1371.17
Date: 12-31 at 04:02:02, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1255.46(6), mean: 1281.40, max: 1349.90
Date: 12-31 at 04:02:34, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1255.46(6), mean: 1274.72, max: 1315.64
Date: 12-31 at 04:03:14, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1248.21(7), mean: 1270.23, max: 1329.50
Date: 12-31 at 04:03:49, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1248.21(7), mean: 1315.62, max: 1368.37
Date: 12-31 at 04:04:25, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1248.21(7), mean: 1298.03, max: 1350.62
Date: 12-31 at 04:05:05, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1248.21(7), mean: 1297.07, max: 1349.36
Date: 12-31 at 04:05:38, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1248.21(7), mean: 1351.24, max: 1414.89
Date: 12-31 at 04:06:20, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1248.21(7), mean: 3032.60, max: 3724.56
Date: 12-31 at 04:06:57, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1248.21(7), mean: 1509.07, max: 1627.60
Date: 12-31 at 04:07:43, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1248.21(7), mean: 1514.42, max: 1664.61
Date: 12-31 at 04:08:10, #particle: 15, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1248.21(7), mean: 1498.21, max: 1605.01
Date: 12-31 at 04:08:57, #particle: 15, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1248.21(7), mean: 3191.10, max: 4080.51
Date: 12-31 at 04:09:44, #particle: 15, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 1054.61, best obj: 1248.21(7), mean: 1561.94, max: 1721.93
