Date: 08-01 at 14:22:50, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6094.40, max: 6701.24
Date: 08-01 at 14:31:53, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5321.28(31), mean: 6285.83, max: 7306.11
Date: 08-01 at 14:32:11, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6088.12, max: 6749.95
Date: 08-01 at 14:41:29, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 6261.36, max: 7291.32
Date: 08-01 at 14:41:32, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6163.24, max: 6796.54
Date: 08-01 at 14:50:57, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6214.16, max: 6879.43
Date: 08-01 at 14:51:07, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 6320.19, max: 7341.30
Date: 08-01 at 15:00:23, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6117.35, max: 6775.82
Date: 08-01 at 15:00:47, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 6317.00, max: 7469.51
Date: 08-01 at 15:09:41, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8813.78, max: 9533.13
Date: 08-01 at 15:10:31, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 5637.24, max: 5919.27
Date: 08-01 at 15:18:39, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8863.30, max: 9543.20
Date: 08-01 at 15:20:16, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 5660.60, max: 5931.40
Date: 08-01 at 15:27:54, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8898.00, max: 9652.44
Date: 08-01 at 15:30:08, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 6013.51, max: 6657.64
Date: 08-01 at 15:37:08, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8825.78, max: 9517.88
Date: 08-01 at 15:40:07, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 5916.39, max: 6695.00
Date: 08-01 at 15:46:29, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8845.25, max: 9421.81
Date: 08-01 at 15:50:01, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 5994.23, max: 6652.55
Date: 08-01 at 15:55:50, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8865.78, max: 9485.34
Date: 08-01 at 16:00:00, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 5864.18, max: 6718.49
Date: 08-01 at 16:05:53, #particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6224.07, max: 6533.27
Date: 08-01 at 16:09:52, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 6157.46, max: 7279.57
Date: 08-01 at 16:15:15, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6598.84, max: 6945.23
Date: 08-01 at 16:20:04, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8803.66, max: 9533.13
Date: 08-01 at 16:24:41, #particle: 15, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6666.96, max: 7132.37
Date: 08-01 at 16:29:18, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8847.39, max: 9600.02
Date: 08-01 at 16:34:15, #particle: 15, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8690.03, max: 9360.72
Date: 08-01 at 16:38:40, #particle: 15, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8636.47, max: 9586.48
Date: 08-01 at 16:43:31, #particle: 15, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8673.40, max: 9287.44
Date: 08-01 at 16:47:54, #particle: 15, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8478.37, max: 9450.30
Date: 08-01 at 16:52:13, #particle: 15, iter: 41, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8663.20, max: 9433.03
Date: 08-01 at 16:56:21, #particle: 15, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8475.20, max: 9382.14
Date: 08-01 at 17:00:33, #particle: 15, iter: 42, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8674.02, max: 9370.01
Date: 08-01 at 17:04:52, #particle: 15, iter: 40, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8433.18, max: 9204.61
Date: 08-01 at 17:09:01, #particle: 15, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8405.89, max: 9236.71
Date: 08-01 at 17:13:29, #particle: 15, iter: 41, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8393.54, max: 9166.40
Date: 08-01 at 17:17:09, #particle: 15, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8177.87, max: 9186.72
Date: 08-01 at 17:21:14, #particle: 15, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8150.30, max: 9392.71
Date: 08-01 at 17:24:41, #particle: 15, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8223.46, max: 9216.22
Date: 08-01 at 17:28:56, #particle: 15, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8180.78, max: 9379.43
Date: 08-01 at 17:32:09, #particle: 15, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6785.39, max: 9102.47
Date: 08-01 at 17:36:49, #particle: 15, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8679.91, max: 9360.72
Date: 08-01 at 17:39:42, #particle: 15, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6794.55, max: 8744.98
Date: 08-01 at 17:44:17, #particle: 15, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8747.61, max: 9442.51
Date: 08-01 at 17:47:27, #particle: 15, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8812.62, max: 9446.55
Date: 08-01 at 17:51:45, #particle: 15, iter: 49, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8802.28, max: 9773.69
Date: 08-01 at 17:54:56, #particle: 15, iter: 52, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8787.47, max: 9401.96
Date: 08-01 at 17:58:37, #particle: 15, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8806.57, max: 9780.09
Date: 08-01 at 18:01:13, #particle: 15, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 8761.40, max: 9366.73
Date: 08-01 at 18:04:43, #particle: 15, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8797.08, max: 9730.03
Date: 08-01 at 18:07:07, #particle: 15, iter: 54, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6338.88, max: 6664.64
Date: 08-01 at 18:11:01, #particle: 15, iter: 52, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8542.42, max: 9493.88
Date: 08-01 at 18:13:08, #particle: 15, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6389.92, max: 6727.70
Date: 08-01 at 18:17:18, #particle: 15, iter: 54, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8580.64, max: 9309.13
Date: 08-01 at 18:19:15, #particle: 15, iter: 57, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6614.04, max: 6955.10
Date: 08-01 at 18:23:35, #particle: 15, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5307.07(31), mean: 8569.91, max: 9261.35
Date: 08-01 at 18:25:26, #particle: 15, iter: 58, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5458.82(29), mean: 6685.94, max: 7091.88
