Date: 07-15 at 09:57:48, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 933.01(4) mean: 3521.17, max: 4337.95
Date: 07-15 at 09:58:44, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 855.34(4) mean: 2312.20, max: 3534.52
Date: 07-15 at 09:59:40, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 840.03(4) mean: 2336.56, max: 3554.66
Date: 07-15 at 10:00:36, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 835.48(4) mean: 1408.01, max: 2051.75
Date: 07-15 at 10:01:29, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 831.60(5) mean: 1222.80, max: 1716.18
Date: 07-15 at 10:02:25, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 751.60(5) mean: 841.94, max: 983.77
Date: 07-15 at 10:03:17, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 729.00(6) mean: 814.13, max: 926.22
Date: 07-15 at 10:04:09, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 677.18(5) mean: 836.49, max: 954.26
Date: 07-15 at 10:05:04, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 658.98(5) mean: 847.99, max: 964.72
Date: 07-15 at 10:05:54, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 658.98(5) mean: 870.45, max: 1008.23
Date: 07-15 at 10:06:48, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 658.98(5) mean: 743.24, max: 821.40
Date: 07-15 at 10:07:43, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 658.77(5) mean: 710.23, max: 858.93
Date: 07-15 at 10:08:34, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 658.77(5) mean: 683.72, max: 812.40
Date: 07-15 at 10:09:28, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 658.77(5) mean: 669.70, max: 789.08
Date: 07-15 at 10:10:24, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 658.77(5) mean: 664.24, max: 738.34
Date: 07-15 at 10:11:14, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 658.77(5) mean: 664.21, max: 737.93
Date: 07-15 at 10:12:06, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 588.49 best obj: 658.77(5) mean: 792.11, max: 1114.86
