Date: 11-20 at 16:10:45, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 1203.33(9), mean: 3060.75, max: 3875.56
Date: 11-20 at 16:11:41, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 972.28(8), mean: 2668.09, max: 3549.29
Date: 11-20 at 16:12:37, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 866.43(6), mean: 2666.20, max: 3583.39
Date: 11-20 at 16:13:30, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 863.75(6), mean: 2353.56, max: 3388.52
Date: 11-20 at 16:14:24, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 863.75(6), mean: 2389.20, max: 3416.88
Date: 11-20 at 16:15:23, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 863.75(6), mean: 2367.93, max: 3387.33
Date: 11-20 at 16:16:23, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 863.75(6), mean: 1056.01, max: 1159.41
Date: 11-20 at 16:17:17, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 863.75(6), mean: 1046.57, max: 1163.98
Date: 11-20 at 16:18:15, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 839.70(7), mean: 960.68, max: 1080.91
Date: 11-20 at 16:19:07, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 830.34(7), mean: 987.06, max: 1082.30
Date: 11-20 at 16:20:02, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 830.34(7), mean: 973.89, max: 1102.67
Date: 11-20 at 16:21:02, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 826.41(7), mean: 896.04, max: 985.21
Date: 11-20 at 16:21:54, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 826.41(7), mean: 937.00, max: 1039.23
Date: 11-20 at 16:22:52, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 826.41(7), mean: 869.20, max: 954.57
Date: 11-20 at 16:23:48, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 826.41(7), mean: 873.48, max: 972.56
Date: 11-20 at 16:24:43, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 826.41(7), mean: 864.68, max: 933.11
Date: 11-20 at 16:25:39, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 826.41(7), mean: 864.96, max: 933.11
Date: 11-20 at 16:26:37, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 826.41(7), mean: 862.00, max: 933.11
Date: 11-20 at 16:27:32, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 826.41(7), mean: 862.00, max: 933.11
Date: 11-20 at 16:28:26, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 826.41(7), mean: 862.00, max: 933.11
Date: 11-20 at 16:29:21, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 826.41(7), mean: 866.03, max: 933.11
Date: 11-20 at 16:30:19, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49, best obj: 826.41(7), mean: 860.34, max: 933.11
