Date: 07-14 at 15:21:04, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 1109.13(9) mean: 3222.87, max: 4089.37
Date: 07-14 at 15:21:56, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 960.37(9) mean: 2603.34, max: 3540.96
Date: 07-14 at 15:22:41, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 900.31(9) mean: 2536.81, max: 3383.38
Date: 07-14 at 15:23:29, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 846.37(8) mean: 1951.14, max: 2641.57
Date: 07-14 at 15:24:21, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 829.61(8) mean: 1838.81, max: 2459.30
Date: 07-14 at 15:25:12, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 827.56(8) mean: 1246.01, max: 1816.89
Date: 07-14 at 15:26:04, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 826.79(8) mean: 910.97, max: 1008.66
Date: 07-14 at 15:26:58, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 809.80(7) mean: 885.96, max: 1016.56
Date: 07-14 at 15:27:45, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 805.04(7) mean: 867.02, max: 1010.19
Date: 07-14 at 15:28:35, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 805.04(7) mean: 858.77, max: 923.98
Date: 07-14 at 15:29:28, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 805.03(7) mean: 874.75, max: 969.98
Date: 07-14 at 15:30:15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 795.76(7) mean: 838.33, max: 901.31
Date: 07-14 at 15:31:03, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 790.35(7) mean: 856.83, max: 923.58
Date: 07-14 at 15:31:55, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 789.63(7) mean: 830.60, max: 891.34
Date: 07-14 at 15:32:41, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 789.63(7) mean: 845.95, max: 891.34
Date: 07-14 at 15:33:31, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 833.38, max: 899.18
Date: 07-14 at 15:34:22, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 830.66, max: 861.12
Date: 07-14 at 15:35:12, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 789.58, max: 789.63
Date: 07-14 at 15:35:57, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:36:45, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:37:34, iter: 21, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:38:27, iter: 22, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:39:13, iter: 23, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:39:59, iter: 24, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:40:47, iter: 25, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:41:37, iter: 26, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:42:27, iter: 27, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:43:13, iter: 28, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:44:00, iter: 29, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:44:49, iter: 30, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:45:40, iter: 31, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:46:27, iter: 32, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:47:14, iter: 33, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:48:03, iter: 34, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:48:55, iter: 35, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:49:45, iter: 36, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:50:31, iter: 37, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:51:17, iter: 38, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:52:07, iter: 39, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:52:59, iter: 40, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:53:45, iter: 41, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:54:32, iter: 42, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:55:21, iter: 43, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:56:11, iter: 44, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:57:00, iter: 45, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:57:46, iter: 46, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:58:33, iter: 47, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 15:59:23, iter: 48, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:00:14, iter: 49, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:00:59, iter: 50, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:01:46, iter: 51, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:02:35, iter: 52, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:03:27, iter: 53, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:04:15, iter: 54, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:05:02, iter: 55, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:05:50, iter: 56, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:06:41, iter: 57, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:07:32, iter: 58, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:08:17, iter: 59, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:09:04, iter: 60, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:09:53, iter: 61, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:10:45, iter: 62, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:11:32, iter: 63, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:12:18, iter: 64, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:13:06, iter: 65, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:13:57, iter: 66, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:14:48, iter: 67, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:15:33, iter: 68, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:16:20, iter: 69, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:17:09, iter: 70, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:18:01, iter: 71, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:18:48, iter: 72, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:19:34, iter: 73, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:20:23, iter: 74, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:21:15, iter: 75, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:22:05, iter: 76, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:22:51, iter: 77, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:23:38, iter: 78, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:24:27, iter: 79, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:25:18, iter: 80, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:26:03, iter: 81, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:26:48, iter: 82, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:27:36, iter: 83, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:28:27, iter: 84, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:29:15, iter: 85, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:30:02, iter: 86, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:30:49, iter: 87, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:31:40, iter: 88, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:32:31, iter: 89, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:33:15, iter: 90, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:34:03, iter: 91, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:34:52, iter: 92, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:35:43, iter: 93, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:36:31, iter: 94, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:37:17, iter: 95, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:38:03, iter: 96, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:38:51, iter: 97, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:39:41, iter: 98, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:40:27, iter: 99, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:41:15, iter: 100, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:42:04, iter: 101, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:42:55, iter: 102, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:43:43, iter: 103, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:44:28, iter: 104, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:45:15, iter: 105, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:46:06, iter: 106, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:46:58, iter: 107, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:47:43, iter: 108, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:48:30, iter: 109, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:49:19, iter: 110, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:50:10, iter: 111, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:50:56, iter: 112, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:51:42, iter: 113, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:52:29, iter: 114, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:53:19, iter: 115, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:54:11, iter: 116, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
Date: 07-14 at 16:54:55, iter: 117, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.49 best obj: 788.86(7) mean: 788.86, max: 788.86
