Date: 07-03 at 10:24:16, iter: 39, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1757.19, max: 1795.61
Date: 07-03 at 10:25:53, iter: 40, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1754.15, max: 1795.61
Date: 07-03 at 10:27:23, iter: 41, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1761.18, max: 1852.68
Date: 07-03 at 10:28:45, iter: 42, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1812.00, max: 1897.82
Date: 07-03 at 10:30:21, iter: 43, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1751.70, max: 1839.46
Date: 07-03 at 10:31:54, iter: 44, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1736.52, max: 1791.97
Date: 07-03 at 10:33:24, iter: 45, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1734.83, max: 1790.94
Date: 07-03 at 10:34:57, iter: 46, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1733.29, max: 1790.94
Date: 07-03 at 10:36:30, iter: 47, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1759.45, max: 1837.34
Date: 07-03 at 10:38:09, iter: 48, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1732.52, max: 1778.62
Date: 07-03 at 10:39:41, iter: 49, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1740.37, max: 1836.08
Date: 07-03 at 10:41:14, iter: 50, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1733.93, max: 1778.62
Date: 07-03 at 10:42:45, iter: 51, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1741.59, max: 1834.97
Date: 07-03 at 10:44:27, iter: 52, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1731.27, max: 1778.62
Date: 07-03 at 10:46:00, iter: 53, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1735.41, max: 1793.35
Date: 07-03 at 10:47:33, iter: 54, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1732.40, max: 1778.62
Date: 07-03 at 10:49:08, iter: 55, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1730.94, max: 1778.62
Date: 07-03 at 10:50:38, iter: 56, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1743.34, max: 1810.53
Date: 07-03 at 10:52:13, iter: 57, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1729.48, max: 1767.68
Date: 07-03 at 10:53:45, iter: 58, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1727.73, max: 1763.30
Date: 07-03 at 10:55:25, iter: 59, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1726.76, max: 1748.73
Date: 07-03 at 10:57:01, iter: 60, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 10:58:28, iter: 61, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 10:59:58, iter: 62, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:01:26, iter: 63, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:03:01, iter: 64, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:04:41, iter: 65, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:06:07, iter: 66, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:07:39, iter: 67, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:09:15, iter: 68, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:10:52, iter: 69, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:12:24, iter: 70, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:13:52, iter: 71, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:15:25, iter: 72, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:17:04, iter: 73, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:18:40, iter: 74, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:20:04, iter: 75, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:21:38, iter: 76, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:23:10, iter: 77, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:24:48, iter: 78, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:26:27, iter: 79, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:27:55, iter: 80, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:29:28, iter: 81, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:31:01, iter: 82, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:32:42, iter: 83, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:34:09, iter: 84, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:35:41, iter: 85, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:37:17, iter: 86, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:38:51, iter: 87, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:40:30, iter: 88, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:41:50, iter: 89, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:43:17, iter: 90, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:44:46, iter: 91, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:46:20, iter: 92, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:47:50, iter: 93, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:49:19, iter: 94, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:50:56, iter: 95, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:52:25, iter: 96, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:54:01, iter: 97, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
Date: 07-03 at 11:55:27, iter: 98, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1723.72(18) mean: 1723.72, max: 1723.72
