Date: 07-16 at 06:27:16, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 1374.78(11) mean: 3258.05, max: 4148.02
Date: 07-16 at 06:28:22, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 1237.34(11) mean: 3177.41, max: 4053.36
Date: 07-16 at 06:29:29, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 1218.85(11) mean: 3014.05, max: 3583.88
Date: 07-16 at 06:30:36, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 1217.58(11) mean: 2687.77, max: 3373.41
Date: 07-16 at 06:31:45, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 1217.58(11) mean: 2645.39, max: 3294.19
Date: 07-16 at 06:32:54, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 1217.58(11) mean: 2486.05, max: 3213.76
Date: 07-16 at 06:34:02, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 1216.82(14) mean: 1956.86, max: 2928.62
Date: 07-16 at 06:35:13, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 1032.01(13) mean: 1691.65, max: 2766.86
Date: 07-16 at 06:36:22, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 1013.02(13) mean: 1575.93, max: 2754.85
Date: 07-16 at 06:37:29, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 1012.74(13) mean: 1528.41, max: 2702.77
Date: 07-16 at 06:38:35, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 981.79(13) mean: 1549.76, max: 2692.29
Date: 07-16 at 06:39:46, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 954.82(12) mean: 1407.68, max: 2480.02
Date: 07-16 at 06:40:53, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 952.41(12) mean: 1149.00, max: 1250.37
Date: 07-16 at 06:41:57, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 938.89(12) mean: 1129.30, max: 1243.69
Date: 07-16 at 06:43:03, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 938.89(11) mean: 1155.02, max: 1278.96
Date: 07-16 at 06:44:10, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 938.89(11) mean: 1129.80, max: 1341.74
Date: 07-16 at 06:45:15, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 938.89(11) mean: 1005.97, max: 1109.22
Date: 07-16 at 06:46:19, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 938.89(11) mean: 1032.97, max: 1146.88
Date: 07-16 at 06:47:23, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 925.05(11) mean: 1135.73, max: 1620.84
Date: 07-16 at 06:48:24, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 922.46(11) mean: 1062.85, max: 1620.70
Date: 07-16 at 06:49:21, iter: 22, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 919.75(11) mean: 986.65, max: 1105.38
Date: 07-16 at 06:50:20, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 919.75(11) mean: 980.37, max: 1113.15
Date: 07-16 at 06:51:22, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 919.75(11) mean: 957.50, max: 1055.95
Date: 07-16 at 06:52:25, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 919.75(11) mean: 950.66, max: 1012.13
Date: 07-16 at 06:53:23, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 919.75(11) mean: 970.08, max: 1029.56
Date: 07-16 at 06:54:27, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 919.75(11) mean: 1240.88, max: 1549.88
Date: 07-16 at 06:55:23, iter: 29, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 902.83(11) mean: 1127.95, max: 1398.88
Date: 07-16 at 06:56:21, iter: 30, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 893.03(11) mean: 1143.78, max: 1409.04
Date: 07-16 at 06:57:20, iter: 31, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 893.03(11) mean: 1204.93, max: 1487.71
Date: 07-16 at 06:58:22, iter: 32, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 893.03(11) mean: 1083.54, max: 1306.97
Date: 07-16 at 06:59:23, iter: 33, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 887.95(11) mean: 968.18, max: 1100.96
Date: 07-16 at 07:00:20, iter: 34, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78 best obj: 877.98(11) mean: 947.74, max: 1076.33
