Date: 01-07 at 09:52:47, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1261.65(13), mean: 3104.73, max: 3669.93
Date: 01-07 at 09:53:45, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1145.45(13), mean: 2805.67, max: 3488.88
Date: 01-07 at 09:54:43, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1133.25(12), mean: 2658.11, max: 3291.52
Date: 01-07 at 09:55:41, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1106.59(11), mean: 2487.44, max: 3096.30
Date: 01-07 at 09:56:40, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1106.59(11), mean: 2207.65, max: 2919.48
Date: 01-07 at 09:57:42, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1106.59(11), mean: 2170.87, max: 2788.74
Date: 01-07 at 09:58:43, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1068.28(12), mean: 1950.72, max: 2528.75
Date: 01-07 at 09:59:43, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1054.66(12), mean: 1948.88, max: 2509.84
Date: 01-07 at 10:00:44, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1025.16(13), mean: 1913.23, max: 2483.27
Date: 01-07 at 10:01:46, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 1019.32(13), mean: 1393.64, max: 2267.01
Date: 01-07 at 10:02:44, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 944.45(11), mean: 1085.26, max: 1699.54
Date: 01-07 at 10:03:42, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 925.47(11), mean: 1041.70, max: 1203.39
Date: 01-07 at 10:04:38, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 917.28(11), mean: 1038.03, max: 1155.13
Date: 01-07 at 10:05:38, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 914.72(11), mean: 964.60, max: 1008.80
Date: 01-07 at 10:06:31, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 824.78, best obj: 914.72(11), mean: 967.65, max: 1048.45
