Date: 07-06 at 19:56:23, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1470.40(18) mean: 2453.03, max: 2851.83
Date: 07-06 at 19:58:40, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1326.65(17) mean: 1987.44, max: 2866.72
Date: 07-06 at 20:00:43, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1319.10(17) mean: 1979.67, max: 2855.93
Date: 07-06 at 20:02:54, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1317.65(17) mean: 1909.22, max: 2866.99
Date: 07-06 at 20:05:06, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1315.59(17) mean: 1414.63, max: 1503.48
Date: 07-06 at 20:07:09, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1419.89, max: 1517.04
Date: 07-06 at 20:09:11, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1464.41, max: 1587.39
Date: 07-06 at 20:11:20, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1486.46, max: 1629.00
Date: 07-06 at 20:13:24, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1443.08, max: 1627.84
Date: 07-06 at 20:15:28, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1442.23, max: 1641.93
Date: 07-06 at 20:17:34, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1482.56, max: 1652.28
Date: 07-06 at 20:19:34, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1455.05, max: 1690.90
Date: 07-06 at 20:21:47, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1474.13, max: 1628.06
Date: 07-06 at 20:23:59, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1419.38, max: 1575.96
Date: 07-06 at 20:26:07, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1484.41, max: 1643.64
Date: 07-06 at 20:28:05, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1397.29, max: 1564.52
Date: 07-06 at 20:30:03, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1366.20, max: 1439.28
Date: 07-06 at 20:32:02, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1381.37, max: 1429.37
Date: 07-06 at 20:34:01, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1378.50, max: 1449.41
Date: 07-06 at 20:35:58, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1358.95, max: 1495.95
Date: 07-06 at 20:38:02, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1311.07(17) mean: 1400.53, max: 1450.19
Date: 07-06 at 20:39:59, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1306.57(16) mean: 1351.36, max: 1390.90
Date: 07-06 at 20:41:59, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1303.27(16) mean: 1335.91, max: 1388.76
Date: 07-06 at 20:43:55, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1301.47(16) mean: 1364.10, max: 1423.96
Date: 07-06 at 20:45:51, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1287.43(16) mean: 1337.37, max: 1402.14
Date: 07-06 at 20:47:48, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.97(16) mean: 1344.74, max: 1447.37
Date: 07-06 at 20:49:50, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1377.41, max: 1478.07
Date: 07-06 at 20:51:51, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1432.20, max: 1545.52
Date: 07-06 at 20:53:58, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1454.80, max: 1574.93
Date: 07-06 at 20:55:57, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1348.60, max: 1475.45
Date: 07-06 at 20:57:55, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1329.92, max: 1384.29
Date: 07-06 at 20:59:57, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1364.29, max: 1433.07
Date: 07-06 at 21:01:56, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1339.57, max: 1401.80
Date: 07-06 at 21:03:54, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1350.72, max: 1415.31
Date: 07-06 at 21:05:57, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1334.22, max: 1423.89
Date: 07-06 at 21:07:57, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1329.53, max: 1404.14
Date: 07-06 at 21:10:04, iter: 37, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1349.39, max: 1416.20
Date: 07-06 at 21:11:59, iter: 38, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1282.91(16) mean: 1329.94, max: 1455.58
Date: 07-06 at 21:14:00, iter: 39, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1278.26(16) mean: 1302.41, max: 1337.17
Date: 07-06 at 21:15:58, iter: 40, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1278.26(16) mean: 1353.15, max: 1396.76
Date: 07-06 at 21:17:53, iter: 41, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1278.26(16) mean: 1315.42, max: 1428.49
Date: 07-06 at 21:19:48, iter: 42, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.03(15) mean: 1309.30, max: 1372.69
Date: 07-06 at 21:21:41, iter: 43, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.03(15) mean: 1301.27, max: 1351.38
Date: 07-06 at 21:23:34, iter: 44, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.03(15) mean: 1344.01, max: 1374.87
Date: 07-06 at 21:25:40, iter: 45, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1268.62(16) mean: 1304.32, max: 1336.23
Date: 07-06 at 21:27:39, iter: 46, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1267.53(16) mean: 1302.23, max: 1331.97
Date: 07-06 at 21:29:38, iter: 47, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1267.53(16) mean: 1303.90, max: 1352.57
Date: 07-06 at 21:31:40, iter: 48, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1267.53(16) mean: 1317.76, max: 1360.55
Date: 07-06 at 21:33:38, iter: 49, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1267.53(16) mean: 1301.69, max: 1333.47
Date: 07-06 at 21:35:46, iter: 50, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1267.53(16) mean: 1301.49, max: 1323.21
Date: 07-06 at 21:37:45, iter: 51, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1267.53(16) mean: 1301.13, max: 1365.80
Date: 07-06 at 21:39:42, iter: 52, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1267.53(16) mean: 1320.41, max: 1421.30
Date: 07-06 at 21:41:38, iter: 53, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1267.53(16) mean: 1278.60, max: 1299.20
Date: 07-06 at 21:43:35, iter: 54, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1266.32(16) mean: 1274.82, max: 1286.51
Date: 07-06 at 21:45:33, iter: 55, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1264.84(16) mean: 1274.73, max: 1286.51
Date: 07-06 at 21:47:33, iter: 56, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1264.84(16) mean: 1274.72, max: 1286.51
Date: 07-06 at 21:49:39, iter: 57, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1264.84(16) mean: 1274.72, max: 1286.51
Date: 07-06 at 21:51:38, iter: 58, fix: false, local: true, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1264.84(16) mean: 1304.94, max: 1347.88
