Date: 07-18 at 23:34:44, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1834.36(22) mean: 2532.70, max: 2772.53
Date: 07-18 at 23:36:13, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1747.78(22) mean: 2347.56, max: 2757.27
Date: 07-18 at 23:37:32, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1744.99(21) mean: 2286.59, max: 2768.63
Date: 07-18 at 23:38:58, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1738.09(21) mean: 2240.11, max: 2795.49
Date: 07-18 at 23:40:28, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1721.66(21) mean: 2005.00, max: 2778.38
Date: 07-18 at 23:41:55, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1718.53(21) mean: 1907.66, max: 2734.54
Date: 07-18 at 23:43:18, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1718.53(21) mean: 1909.58, max: 2711.72
Date: 07-18 at 23:44:37, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1718.53(21) mean: 1891.56, max: 2736.91
Date: 07-18 at 23:46:01, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1718.53(21) mean: 1922.51, max: 2724.54
Date: 07-18 at 23:47:34, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1718.53(21) mean: 1797.64, max: 1965.04
Date: 07-18 at 23:48:54, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1716.56(22) mean: 1826.11, max: 1993.50
Date: 07-18 at 23:50:21, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1706.93(21) mean: 1802.56, max: 1937.74
Date: 07-18 at 23:51:35, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1706.93(21) mean: 1831.15, max: 1967.67
Date: 07-18 at 23:53:05, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1706.00(21) mean: 1786.36, max: 1980.00
Date: 07-18 at 23:54:24, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1706.00(21) mean: 1808.85, max: 2027.93
Date: 07-18 at 23:55:51, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1706.00(21) mean: 1804.07, max: 2009.37
Date: 07-18 at 23:57:24, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1706.00(21) mean: 1786.33, max: 1923.93
Date: 07-18 at 23:58:48, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1706.00(21) mean: 1783.87, max: 1963.57
Date: 07-19 at 00:00:12, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1706.00(21) mean: 1789.02, max: 1947.53
Date: 07-19 at 00:01:38, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1706.00(21) mean: 1789.27, max: 1979.55
Date: 07-19 at 00:03:06, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1695.97(23) mean: 1749.33, max: 1820.40
Date: 07-19 at 00:04:26, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1695.97(23) mean: 1750.24, max: 1811.94
Date: 07-19 at 00:05:52, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1695.97(23) mean: 1770.27, max: 1850.29
Date: 07-19 at 00:07:24, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1695.97(23) mean: 1740.14, max: 1846.72
Date: 07-19 at 00:08:53, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1695.97(23) mean: 1734.29, max: 1780.43
Date: 07-19 at 00:10:23, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1695.97(23) mean: 1727.85, max: 1775.33
Date: 07-19 at 00:11:55, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1695.97(23) mean: 1726.56, max: 1777.31
Date: 07-19 at 00:13:21, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1695.97(23) mean: 1730.78, max: 1811.68
Date: 07-19 at 00:14:58, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1695.97(23) mean: 1722.11, max: 1757.25
Date: 07-19 at 00:16:20, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59 best obj: 1695.97(23) mean: 1725.42, max: 1780.98
